name,website,X,Facebook
"Rogers, Harold",https://halrogers.house.gov/,https://twitter.com/RepHalRogers,https://www.facebook.com/CongressmanHalRogers/
"Rouzer, David",https://rouzer.house.gov/,https://twitter.com/RepdavidRouzer,https://www.facebook.com/RepRouzer
"Roy, Chip",https://roy.house.gov,,
"Ross, Deborah",https://ross.house.gov,https://twitter.com/RepDeborahRoss,https://www.facebook.com/RepDeborahRoss/
"Rulli, Michael A.",https://rulli.house.gov,https://x.com/repmichaelrulli,https://www.facebook.com/RepMikeRulli/
"Rutherford, John",https://rutherford.house.gov,https://twitter.com/RepRutherfordFL,https://www.facebook.com/RepRutherfordFL
"Ruiz, Raul",https://ruiz.house.gov,,
"Salazar, Maria",https://salazar.house.gov,https://twitter.com/RepMariaSalazar,https://www.facebook.com/RepMariaSalazar/
"Scalise, Steve",https://scalise.house.gov/,http://twitter.com/SteveScalise,
"Ryan, Patrick",https://patryan.house.gov/,,
"Salinas, Andrea",https://salinas.house.gov,,
"Schmidt, Derek",https://schmidt.house.gov/,https://twitter.com/repderekschmidt,https://www.facebook.com/HouseRepublicans
"Sanchez, Linda",https://lindasanchez.house.gov/,hhttp://twitter.com/replindasanchez,http://www.facebook.com/RepLindaSanchez/
"Schneider, Bradley",https://schneider.house.gov,https://twitter.com/RepSchneider,http://www.facebook.com/CongressmanBradSchneider/
"Schakowsky, Janice",https://schakowsky.house.gov,http://twitter.com/janschakowsky,http://www.facebook.com/janschakowsky
"Scanlon, Mary Gay",https://scanlon.house.gov/,https://twitter.com/repmgs,https://www.facebook.com/repmgs
"Scott, Austin",https://austinscott.house.gov/,https://twitter.com/AustinScottGA08,http://www.facebook.com/RepAustinScott/
"Scholten, Hillary",https://scholten.house.gov,https://twitter.com/RepScholten,https://www.facebook.com/profile.php?id=100089476625799&mibextid=LQQJ4d
"Scott, David",https://davidscott.house.gov/,https://twitter.com/RepDavidScott,http://www.facebook.com/pages/Congressman-David-Scott/113303673339
"Schrier, Kim",https://schrier.house.gov,https://twitter.com/RepKimSchrier,http://www.facebook.com/repkimschrier
"Schweikert, David",https://schweikert.house.gov/,https://twitter.com/RepDavid,https://www.facebook.com/repdavidschweikert
"Sessions, Pete",https://sessions.house.gov,https://twitter.com/PeteSessions,https://www.facebook.com/petesessions/
