name,website,district,state,region_category,party,committee
"Waters, Maxine",https://waters.house.gov,California 43rd,California,state,D,Financial Services
"Watson Coleman, Bonnie",https://watsoncoleman.house.gov/,New Jersey 12th,New Jersey,state,D,Appropriations|Budget
"Weber, Randy",https://weber.house.gov,Texas 14th,Texas,state,R,"Energy and Commerce|Science, Space, and Technology"
"Webster, Daniel",https://webster.house.gov/,Florida 11th,Florida,state,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
"Westerman, Bruce",https://westerman.house.gov/,Arkansas 4th,Arkansas,state,R,Natural Resources|Transportation and Infrastructure
"Whitesides, George",https://whitesides.house.gov/,California 27th,California,state,D,"Armed Services|Science, Space, and Technology"
"Wied, Tony",https://wied.house.gov/,Wisconsin 8th,Wisconsin,state,R,Agriculture|Transportation and Infrastructure|Small Business
"Williams, Nikema",https://nikemawilliams.house.gov,Georgia 5th,Georgia,state,D,Financial Services
"Williams, Roger",https://williams.house.gov,Texas 25th,Texas,state,R,Financial Services|Small Business
"Wilson, Frederica",https://wilson.house.gov/,Florida 24th,Florida,state,D,Education and Workforce|Transportation and Infrastructure
"Wilson, Joe",https://joewilson.house.gov/,South Carolina 2nd,South Carolina,state,R,Armed Services|Education and Workforce|Foreign Affairs
"Wittman, Robert",https://wittman.house.gov/,Virginia 1st,Virginia,state,R,Armed Services|Natural Resources|Select Comm on the Strategic Competition US and China
"Womack, Steve",https://womack.house.gov/,Arkansas 3rd,Arkansas,state,R,Appropriations
"Yakym, Rudy",https://yakym.house.gov,Indiana 2nd,Indiana,state,R,Ways and Means
"Zinke, Ryan",https://zinke.house.gov,Montana 1st,Montana,state,R,Appropriations|Foreign Affairs
